claim_id,paper_id,year,atomic_claim,claim_index,extractor_model,prompt_hash,run_id,created_at
clm_d60b36f104b6ad18,2020.aacl-main.64,2020,The model performs well when hand-crafted entity candidate sets are unavailable.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_abd145256ffe7eed,2020.aacl-main.54,2020,A deep learning framework with joint inference captures both tag semantics and geographic correlation between questions and points of interest.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_82581c04e37d481a,2020.aacl-main.54,2020,The framework includes a cross-attention question embedding neural network that models question-to-POI and POI-to-question interactions.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_631087fc26555a58,2020.aacl-main.54,2020,The framework utilizes a skewed distribution to simulate spatial relationships between questions and points of interest.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_a0bfae635c3a8629,2020.aacl-main.54,2020,Empirical evaluation demonstrates that the framework is robust and practical compared to existing methods.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_99b4747d76ec0489,2020.aacl-main.62,2020,An unsupervised scoring function that leverages cross-lingual sentence embeddings to compute semantic distance between documents in different languages is introduced.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_890eee7d951dc283,2020.aacl-main.62,2020,"The semantic distances produced by the scoring function are used to guide a document alignment algorithm for pairing cross-lingual web documents across low-, mid-, and high-resource language pairs.",1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_67d32262fe964435,2020.aacl-main.62,2020,A tractable greedy algorithm is proposed to approximate the computationally intensive scoring function while maintaining comparable performance.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b83a18878d7ce04e,2020.aacl-main.62,2020,"The proposed distance metric achieves higher alignment accuracy than current baselines across high-, mid-, and low-resource language pairs.",3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b8f95ce124a9442d,2020.aacl-main.76,2020,Reliance on gendered word pairs for bias measurement yields non-robust bias measures that fail to identify common real-world bias types.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_847974d09f9e4c03,2020.aacl-main.76,2020,Analogies constructed using gendered word pairs are unsuitable indicators of gender bias.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_edd89174ec000d6d,2020.aacl-main.76,2020,The analogy “man is to computer-programmer as woman is to homemaker” reflects word similarity rather than gender bias.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_3a6209fa11755086,2020.aacl-main.23,2020,A general framework adapts neural machine translation for simultaneous translation.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_4ec4b91be1a43f8d,2020.aacl-main.23,2020,The framework includes a prefix translation component that uses a consecutive NMT model to translate source prefixes.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_d5bae48ee4828d7d,2020.aacl-main.23,2020,The framework includes a stopping criterion that determines when to stop prefix translation.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_6c903b88fdd8fbd7,2020.aacl-main.23,2020,Experiments on three translation corpora and two language pairs demonstrate that the framework balances translation quality and latency in simultaneous translation.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_1f8c726188798b91,2020.aacl-main.7,2020,"BCTH utilizes multiple Bayesian clusterings in parallel to map documents to binary codes, assigning one bit to each clustering.",0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_c5aa8bbaeeb4d358,2020.aacl-main.7,2020,BCTH incorporates a bit-balanced constraint to maximize the information content of each bit.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_ac78c44c664d2cd4,2020.aacl-main.7,2020,BCTH incorporates a bit-uncorrected constraint to maintain independence among all bits.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_822653ea9d2b3835,2020.aacl-main.7,2020,BCTH learns hash codes and hash functions jointly with linear time complexity.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_609b07b26f644597,2020.aacl-main.7,2020,BCTH achieves competitive precision and training speed compared to existing baselines.,4,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_3afea60501459979,2020.aacl-main.7,2020,BCTH represents the first application of Bayesian clustering to text hashing.,5,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_80b572aa25eb9270,2020.aacl-main.41,2020,Length prediction is introduced as an auxiliary task for neural machine translation.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_a295048375228fdc,2020.aacl-main.41,2020,A sub-network extracts target length information from the encoder.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_75d0d47270bd21aa,2020.aacl-main.41,2020,The length prediction sub-network improves translation performance over a strong baseline.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_a3ae5c3afefba623,2020.aacl-main.41,2020,Predicted target length can replace length normalization during decoding.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_82721f583198a090,2020.aacl-srw.21,2020,A BERT-based method classifies MRC training examples as answerable or unanswerable when only the context is provided.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_81b0e5b1e7fa7f29,2020.aacl-srw.21,2020,"The method partitions the SQuAD1.1 training set into ""easy to answer"" examples that are answerable without a question and ""hard to answer"" examples that are not.",1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_0075db13227c0ecf,2020.aacl-srw.21,2020,"Training an MRC model on the ""hard to answer"" subset outperforms training on the ""easy to answer"" subset.",2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b5a6cda46d7849de,2020.aacl-srw.5,2020,Classification models that use seven numerical and ten text-based features extracted from simple Twitter profile information are introduced for identifying student users.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_5b1fe7d3ffe9210f,2020.aacl-srw.5,2020,The profile-based models classify students without requiring access to their tweets.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_2e2913d5f8bf3e38,2020.aacl-srw.5,2020,The proposed models achieve higher accuracy and F1 score than prior models that rely on tweet-content features.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_40d847430526ab5a,2020.aacl-demo.4,2020,metaCAT is a web-based annotation tool designed for developing task-oriented dialogue data.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_018f950034875ea2,2020.aacl-demo.4,2020,"metaCAT provides comprehensive metadata annotation coverage for domain, intent, and span information.",1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_1176512877ece3ce,2020.aacl-demo.4,2020,metaCAT enhances data annotation quality with a real-time annotation constraint-checking mechanism.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_ef94712f21010319,2020.aacl-demo.4,2020,metaCAT includes an Automatic Speech Recognition function that enables paraphrasing and creation of diversified annotated utterances.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_3a9e5c63b8830864,2020.aacl-main.92,2020,Re-evaluation of RumourEval 2017 and 2019 systems shows that accuracy and macro-F1 are not robust for four-class imbalanced rumour stance classification.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_111f0c9ae7f395a9,2020.aacl-main.92,2020,New evaluation metrics for rumour stance detection are introduced that are robust to imbalanced data and reward recognition of the support and deny classes.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_d14366e0ae198559,2020.aacl-main.1,2020,A touch-based editing method enables flexible translation post-editing using user-performed touch actions.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b07a8a213eff0892,2020.aacl-main.1,2020,A dual-encoder model processes touch actions and generates refined translations.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_2a2c072f3871ec7c,2020.aacl-main.1,2020,A training data construction pipeline uses TER comparisons between draft translations and references to automatically extract simulated editing actions.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_f80a507d734dcb15,2020.aacl-main.1,2020,The touch-based editing method improves translation quality compared to baseline Transformer models.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_d26ea7faeda2c065,2020.aacl-main.1,2020,The touch-based editing method outperforms existing interactive translation methods.,4,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_7abaa3b3cb01bdee,2020.aacl-main.1,2020,Experiments on post-editing datasets demonstrate the robustness of the touch-based editing method.,5,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_20967456d888b9b9,2020.aacl-main.88,2020,A two-stage compression method first decomposes model matrices into smaller matrices and then applies feature distillation on internal representations to recover information.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_0274148f324c603b,2020.aacl-main.88,2020,The compression method reduces the number of parameters of BERT-base while preserving most of the model's information.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_7a511b92b5c1653e,2020.aacl-main.88,2020,The compression method increases inference speed of BERT-base with minimal loss in metric performance on the GLUE benchmark.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_ec57a037210dbe58,2020.aacl-main.33,2020,Aspect-level sentiment controllable style transfer is defined as a task where each aspect-level sentiment can be individually controlled in the generated text.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_035e841055c7b58d,2020.aacl-main.33,2020,A BERT-based encoder-decoder architecture with saliency weighted polarity injection is proposed for aspect-level sentiment controllable style transfer.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_c5ca5b63604e111d,2020.aacl-main.33,2020,"Unsupervised training strategies, including ABSA masked-language-modelling, are employed to train the proposed architecture.",2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_9a84b3c6a365d415,2020.aacl-main.33,2020,The system is demonstrated to successfully control aspect-level sentiments according to automatic and manual evaluation.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_0cfd9d82f1a58762,2020.aacl-srw.3,2020,A task-agnostic model for estimating problem difficulty in supervised learning tasks is developed.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_292b75208ec0abf8,2020.aacl-srw.3,2020,Regression and classification models are trained to predict how many annotators will answer a question correctly on the SNLI dataset.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_eeacf27a1b43631e,2020.aacl-srw.3,2020,Difficulty estimates from the model are projected onto the full SNLI training set to create a curriculum.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_eac6a51811f59ca2,2020.aacl-srw.3,2020,Analyses demonstrate that the curriculum captures difficulty for the SNLI task.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_c44264c5344fac5c,2020.aacl-main.46,2020,A survey categorizes explanations for natural language processing models.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_efbb5e8685d78180,2020.aacl-main.46,2020,A survey details operations and explainability techniques for generating explanations of NLP model predictions.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_199d4c63cee6ae12,2020.aacl-main.46,2020,A survey identifies current gaps in explainable AI for natural language processing.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_00c1c215443e1ed8,2020.aacl-main.84,2020,"An automatic web-based technique combines rule-based identification, informatics-based extraction, and Baidu search engine validation to identify Mandarin Alphabetical Words from Sina Weibo.",0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_121be8f8f1e1db7b,2020.aacl-main.84,2020,The technique produces a large collection of Mandarin Alphabetical Words sourced from Sina Weibo.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_85981735bd563ccd,2020.aacl-main.84,2020,An annotated corpus of hundreds of thousands of sentences is released for linguistic research.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_0947a2c0612458e7,2020.aacl-main.20,2020,Two methods that integrate a BERT-based pre-trained model into an encoder-decoder architecture improve Chinese grammatical error correction.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_0c6abe85260fa1ac,2020.aacl-main.20,2020,Error analysis shows that sentence-level errors are still insufficiently addressed in Chinese grammatical error correction.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_600d4688cf5423aa,2020.aacl-srw.10,2020,Re-annotated Indonesian NER dataset yields more consistent organization tag annotations.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_7827dcb8e2a94072,2020.aacl-srw.10,2020,"Using BiLSTM-CRF, the re-annotated dataset improves NER prediction performance compared to the original annotation.",1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_ed2beece24dfa50b,2020.aacl-srw.10,2020,Comparative analysis of feature embeddings reveals their impact on Indonesian NER task performance.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_5abc758c3e28afb5,2020.aacl-main.61,2020,"SportsSum is a Chinese sports game summarization dataset containing 5,428 soccer games with live commentaries and corresponding news articles.",0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_84185f785414c900,2020.aacl-main.61,2020,A two-step summarization model composed of a selector and a rewriter is introduced for sports game summarization.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_da8b457e9f59d4f5,2020.aacl-main.61,2020,Name matching score and event matching score are introduced as novel metrics for evaluating the correctness of generated sports summaries.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_6aa6a46af9233eb7,2020.aacl-main.61,2020,The two-step model outperforms existing summarization baselines on ROUGE and the proposed name and event matching scores.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_fa0fd2cd3b15dbfa,2022.aacl-demo.1,2022,VScript generates complete scripts with dialogues and scene descriptions and provides visual presentation via video retrieval.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_e410d0ee0f40d89c,2022.aacl-demo.1,2022,VScript allows users to control script generation by selecting genres and providing starting words.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_ee3fa30a70b6d13d,2022.aacl-demo.1,2022,"VScript employs a hierarchical generation process that first creates a plot, then generates the script and its visual presentation.",2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_824a078e07dbab70,2022.aacl-demo.1,2022,Plot-guided dialogue generation is performed by treating dialogue generation as inverse dialogue summarization.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_c7454d03c2b1812a,2022.aacl-demo.1,2022,"VScript outperforms baseline methods on automatic and human evaluations, particularly in genre control.",4,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_67f23c3fc6408852,2020.aacl-main.8,2020,A single convolutional neural network with sinusoidal positional encoding is introduced for text classification.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_564472cf6c801c9a,2020.aacl-main.8,2020,Sinusoidal positional encoding supplies word position information that enables a more efficient CNN architecture for text classification.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_1b542f6a967a16bf,2020.aacl-main.8,2020,The model reduces both parameter count and training time compared to prior CNN-based text classifiers while preserving comparable performance on multiple benchmark datasets.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_3fb137bf5f8ba59d,2020.aacl-main.66,2020,A supervised topic model is incorporated to provide global context that improves event trigger detection.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b3630f2183d12f39,2020.aacl-main.66,2020,A preprocessing module discards unlikely candidate antecedents of event mentions using discourse contexts derived from salient entities.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_fdc9fcad14f91d4c,2020.aacl-main.66,2020,The extended joint model achieves state-of-the-art performance on the KBP 2017 English and Chinese event coreference datasets.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_d59544ab51c2e769,2020.aacl-main.15,2020,A method predicts salient locations from news article text using a knowledge base.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_6c01f723093974e0,2020.aacl-main.15,2020,The method uses a dictionary of locations derived from the knowledge base to identify location mentions in text.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_ab4715a0e9379112,2020.aacl-main.15,2020,The method leverages hierarchical information between entities in the knowledge base to assign saliency scores to regions.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b3e77fc803d7dd9c,2020.aacl-main.15,2020,The method supports prediction at arbitrary region units.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_c04ca68fe57d21b8,2020.aacl-main.15,2020,The method requires only a few hyperparameters to be tuned.,4,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_262a9e2d495d506c,2020.aacl-main.15,2020,The method achieves higher f-measure than multiple baselines on manually annotated news articles.,5,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_921bfe441520d8c6,2020.aacl-demo.1,2020,AMesure assists writers of French administrative texts in simplifying their writing.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_89a91dbfce00a287,2020.aacl-demo.1,2020,AMesure includes a readability formula specialized for administrative texts.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_b82d7013e12058d5,2020.aacl-demo.1,2020,AMesure uses various NLP tools to analyze texts and highlight linguistic phenomena considered difficult to read.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_21d935ddbe640c21,2020.aacl-demo.1,2020,AMesure offers pieces of advice from official plain language guides based on identified difficulties.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_44514a85587ae98e,2020.aacl-demo.1,2020,Components of AMesure are evaluated.,4,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_a09a162aeb25aa7a,2020.aacl-main.13,2020,A high-order refining mechanism performs interaction between all predicate-argument pairs in end-to-end Chinese semantic role labeling.,0,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_7ff5c841678e6bc1,2020.aacl-main.13,2020,The high-order refining module learns higher-order features between candidate predicate-argument pairs via attention calculation.,1,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_06b5c1e8e8d62a75,2020.aacl-main.13,2020,Learned higher-order features are used to update token representations.,2,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
clm_84194ec25d67e7e3,2020.aacl-main.13,2020,Iterative refinement enriches token representations with globally interacted features.,3,Openai/Gpt-oss-120b,f9a9b434c72c,anthology_20260702T181553Z,2026-07-02T18:15:53.521465+00:00
