claim_id,paper_id,year,cluster,cluster_name
94,2025.emnlp-main.1038,2025,15,"shot, zero, learning"
95,2021.emnlp-main.357,2021,11,"dialogue, dialog, dialogues"
96,2021.emnlp-main.357,2021,11,"dialogue, dialog, dialogues"
97,2021.emnlp-main.357,2021,15,"shot, zero, learning"
98,2021.emnlp-main.175,2021,-1,noise
99,2021.emnlp-main.175,2021,-1,noise
100,2021.emnlp-main.175,2021,24,"response, generation, responses"
101,2021.emnlp-main.175,2021,11,"dialogue, dialog, dialogues"
102,2025.emnlp-main.875,2025,37,"political, social, language"
103,2025.emnlp-main.875,2025,11,"dialogue, dialog, dialogues"
104,2021.emnlp-main.572,2021,56,"attention, training, pruning"
105,2021.emnlp-main.572,2021,-1,noise
106,2021.emnlp-main.572,2021,15,"shot, zero, learning"
107,2021.emnlp-main.572,2021,15,"shot, zero, learning"
108,2021.emnlp-main.219,2021,-1,noise
109,2021.emnlp-main.219,2021,-1,noise
110,2021.emnlp-main.219,2021,-1,noise
111,2021.emnlp-main.219,2021,-1,noise
112,2021.emnlp-main.219,2021,-1,noise
113,2022.emnlp-main.154,2022,-1,noise
114,2022.emnlp-main.154,2022,-1,noise
115,2022.emnlp-main.154,2022,-1,noise
116,2025.emnlp-main.953,2025,20,"argument, argumentative, arguments"
117,2025.emnlp-main.953,2025,20,"argument, argumentative, arguments"
118,2025.emnlp-main.953,2025,-1,noise
119,2025.emnlp-main.953,2025,-1,noise
120,2025.emnlp-main.232,2025,46,"agent, agents, action"
121,2025.emnlp-main.232,2025,-1,noise
122,2025.emnlp-main.232,2025,46,"agent, agents, action"
123,2025.emnlp-main.232,2025,46,"agent, agents, action"
124,2025.emnlp-main.232,2025,46,"agent, agents, action"
125,2020.emnlp-main.129,2020,10,"event, extraction, temporal"
126,2020.emnlp-main.129,2020,10,"event, extraction, temporal"
127,2020.emnlp-main.619,2020,30,"mental, depression, counseling"
128,2020.emnlp-main.619,2020,30,"mental, depression, counseling"
129,2021.emnlp-main.583,2021,68,"question, answering, questions"
130,2021.emnlp-main.583,2021,68,"question, answering, questions"
131,2021.emnlp-main.583,2021,68,"question, answering, questions"
132,2021.emnlp-main.583,2021,68,"question, answering, questions"
133,2020.emnlp-main.284,2020,76,"lexical, word, words"
134,2020.emnlp-main.284,2020,76,"lexical, word, words"
135,2021.emnlp-main.9,2021,7,"summarization, summaries, summary"
136,2021.emnlp-main.9,2021,7,"summarization, summaries, summary"
137,2021.emnlp-main.9,2021,-1,noise
138,2021.emnlp-main.9,2021,62,"fact, verification, checking"
139,2021.emnlp-main.9,2021,62,"fact, verification, checking"
140,2025.emnlp-main.553,2025,-1,noise
141,2025.emnlp-main.553,2025,46,"agent, agents, action"
142,2025.emnlp-main.463,2025,-1,noise
143,2025.emnlp-main.463,2025,-1,noise
144,2025.emnlp-main.463,2025,-1,noise
145,2025.emnlp-main.463,2025,67,"answering, question, reasoning"
146,2025.emnlp-main.463,2025,-1,noise
147,2020.emnlp-main.398,2020,56,"attention, training, pruning"
148,2020.emnlp-main.398,2020,56,"attention, training, pruning"
149,2020.emnlp-main.398,2020,56,"attention, training, pruning"
150,2020.emnlp-main.398,2020,56,"attention, training, pruning"
151,2023.emnlp-main.663,2023,42,"speech, translation, end"
152,2023.emnlp-main.663,2023,42,"speech, translation, end"
153,2023.emnlp-main.663,2023,42,"speech, translation, end"
154,2025.emnlp-main.159,2025,-1,noise
155,2025.emnlp-main.159,2025,-1,noise
156,2025.emnlp-main.159,2025,73,"reasoning, language, thought"
157,2025.emnlp-main.159,2025,-1,noise
158,2025.emnlp-main.159,2025,-1,noise
159,2025.emnlp-main.159,2025,-1,noise
160,2024.emnlp-main.264,2024,30,"mental, depression, counseling"
161,2024.emnlp-main.264,2024,30,"mental, depression, counseling"
162,2024.emnlp-main.264,2024,-1,noise
163,2025.emnlp-main.16,2025,-1,noise
164,2025.emnlp-main.16,2025,-1,noise
165,2025.emnlp-main.16,2025,-1,noise
166,2025.emnlp-main.1464,2025,-1,noise
167,2025.emnlp-main.1464,2025,-1,noise
168,2025.emnlp-main.1464,2025,23,"explanations, explanation, rationales"
169,2025.emnlp-main.1464,2025,-1,noise
170,2023.emnlp-main.607,2023,64,"commonsense, reasoning, knowledge"
171,2023.emnlp-main.607,2023,64,"commonsense, reasoning, knowledge"
172,2023.emnlp-main.607,2023,52,"nli, nlp, examples"
173,2024.emnlp-main.926,2024,-1,noise
174,2024.emnlp-main.926,2024,-1,noise
175,2024.emnlp-main.926,2024,-1,noise
176,2024.emnlp-main.926,2024,-1,noise
177,2024.emnlp-main.926,2024,-1,noise
178,2020.emnlp-main.360,2020,-1,noise
179,2020.emnlp-main.360,2020,43,"translation, machine, neural"
180,2020.emnlp-main.360,2020,-1,noise
181,2020.emnlp-main.360,2020,43,"translation, machine, neural"
182,2024.emnlp-main.351,2024,-1,noise
183,2024.emnlp-main.351,2024,6,"visual, vision, image"
184,2024.emnlp-main.351,2024,-1,noise
185,2024.emnlp-main.351,2024,-1,noise
186,2025.emnlp-main.969,2025,72,"reasoning, math, problems"
187,2025.emnlp-main.969,2025,78,"language, large, tuning"
188,2020.emnlp-main.600,2020,-1,noise
189,2020.emnlp-main.600,2020,33,"generation, text, language"
190,2020.emnlp-main.600,2020,33,"generation, text, language"
191,2021.emnlp-main.539,2021,-1,noise
192,2021.emnlp-main.539,2021,43,"translation, machine, neural"
193,2021.emnlp-main.539,2021,-1,noise
194,2021.emnlp-main.539,2021,-1,noise
195,2021.emnlp-main.539,2021,-1,noise
196,2023.emnlp-main.803,2023,68,"question, answering, questions"
197,2023.emnlp-main.803,2023,-1,noise
198,2023.emnlp-main.803,2023,-1,noise
199,2023.emnlp-main.803,2023,-1,noise
200,2023.emnlp-main.803,2023,-1,noise
201,2022.emnlp-main.85,2022,56,"attention, training, pruning"
202,2022.emnlp-main.85,2022,56,"attention, training, pruning"
203,2025.emnlp-main.1041,2025,-1,noise
204,2025.emnlp-main.1041,2025,-1,noise
205,2025.emnlp-main.1041,2025,-1,noise
206,2025.emnlp-main.1041,2025,-1,noise
207,2025.emnlp-main.1041,2025,-1,noise
208,2023.emnlp-main.631,2023,11,"dialogue, dialog, dialogues"
209,2023.emnlp-main.631,2023,11,"dialogue, dialog, dialogues"
210,2021.emnlp-main.695,2021,-1,noise
211,2021.emnlp-main.695,2021,-1,noise
212,2021.emnlp-main.695,2021,-1,noise
213,2022.emnlp-main.483,2022,-1,noise
214,2022.emnlp-main.483,2022,-1,noise
215,2022.emnlp-main.483,2022,-1,noise
216,2025.emnlp-main.590,2025,63,"topic, topics, btr"
217,2025.emnlp-main.590,2025,6,"visual, vision, image"
218,2025.emnlp-main.590,2025,63,"topic, topics, btr"
219,2025.emnlp-main.590,2025,6,"visual, vision, image"
220,2025.emnlp-main.590,2025,6,"visual, vision, image"
221,2021.emnlp-main.101,2021,25,"medical, clinical, radiology"
222,2021.emnlp-main.101,2021,25,"medical, clinical, radiology"
223,2021.emnlp-main.101,2021,25,"medical, clinical, radiology"
224,2021.emnlp-main.101,2021,-1,noise
225,2021.emnlp-main.233,2021,23,"explanations, explanation, rationales"
226,2021.emnlp-main.233,2021,23,"explanations, explanation, rationales"
227,2021.emnlp-main.233,2021,23,"explanations, explanation, rationales"
228,2021.emnlp-main.233,2021,23,"explanations, explanation, rationales"
229,2021.emnlp-main.233,2021,23,"explanations, explanation, rationales"
230,2021.emnlp-main.233,2021,23,"explanations, explanation, rationales"
231,2021.emnlp-main.264,2021,-1,noise
232,2021.emnlp-main.264,2021,-1,noise
233,2021.emnlp-main.264,2021,43,"translation, machine, neural"
234,2021.emnlp-main.264,2021,43,"translation, machine, neural"
235,2021.emnlp-main.264,2021,7,"summarization, summaries, summary"
236,2024.emnlp-main.72,2024,78,"language, large, tuning"
237,2024.emnlp-main.72,2024,-1,noise
238,2024.emnlp-main.72,2024,-1,noise
239,2024.emnlp-main.72,2024,39,"preference, optimization, direct"
240,2021.emnlp-main.57,2021,-1,noise
241,2021.emnlp-main.57,2021,-1,noise
242,2021.emnlp-main.57,2021,-1,noise
243,2021.emnlp-main.199,2021,3,"paraphrase, paraphrases, paraphrasing"
244,2021.emnlp-main.199,2021,3,"paraphrase, paraphrases, paraphrasing"
245,2021.emnlp-main.199,2021,3,"paraphrase, paraphrases, paraphrasing"
246,2021.emnlp-main.199,2021,3,"paraphrase, paraphrases, paraphrasing"
247,2021.emnlp-main.199,2021,3,"paraphrase, paraphrases, paraphrasing"
248,2020.emnlp-main.132,2020,-1,noise
249,2020.emnlp-main.132,2020,-1,noise
250,2020.emnlp-main.132,2020,74,"embeddings, sentence, embedding"
251,2020.emnlp-main.132,2020,-1,noise
252,2021.emnlp-main.729,2021,12,"style, transfer, text"
253,2021.emnlp-main.729,2021,12,"style, transfer, text"
254,2021.emnlp-main.729,2021,12,"style, transfer, text"
255,2021.emnlp-main.729,2021,12,"style, transfer, text"
256,2020.emnlp-main.403,2020,-1,noise
257,2020.emnlp-main.403,2020,-1,noise
258,2020.emnlp-main.403,2020,56,"attention, training, pruning"
259,2020.emnlp-main.403,2020,78,"language, large, tuning"
260,2020.emnlp-main.736,2020,17,"story, stories, narrative"
261,2020.emnlp-main.736,2020,17,"story, stories, narrative"
262,2020.emnlp-main.736,2020,17,"story, stories, narrative"
263,2020.emnlp-main.736,2020,17,"story, stories, narrative"
264,2020.emnlp-main.736,2020,17,"story, stories, narrative"
265,2020.emnlp-main.736,2020,17,"story, stories, narrative"
266,2024.emnlp-main.962,2024,6,"visual, vision, image"
267,2024.emnlp-main.962,2024,6,"visual, vision, image"
268,2022.emnlp-main.481,2022,-1,noise
269,2022.emnlp-main.481,2022,-1,noise
270,2023.emnlp-main.965,2023,74,"embeddings, sentence, embedding"
271,2023.emnlp-main.965,2023,74,"embeddings, sentence, embedding"
272,2023.emnlp-main.965,2023,74,"embeddings, sentence, embedding"
273,2023.emnlp-main.965,2023,74,"embeddings, sentence, embedding"
274,2023.emnlp-main.965,2023,74,"embeddings, sentence, embedding"
275,2024.emnlp-main.727,2024,33,"generation, text, language"
276,2024.emnlp-main.727,2024,33,"generation, text, language"
277,2024.emnlp-main.727,2024,33,"generation, text, language"
278,2024.emnlp-main.727,2024,33,"generation, text, language"
279,2022.emnlp-main.70,2022,-1,noise
280,2022.emnlp-main.70,2022,-1,noise
281,2022.emnlp-main.262,2022,15,"shot, zero, learning"
282,2022.emnlp-main.262,2022,-1,noise
283,2022.emnlp-main.262,2022,15,"shot, zero, learning"
284,2022.emnlp-main.262,2022,15,"shot, zero, learning"
285,2020.emnlp-main.402,2020,-1,noise
286,2020.emnlp-main.402,2020,-1,noise
287,2020.emnlp-main.402,2020,-1,noise
288,2021.emnlp-main.802,2021,-1,noise
289,2021.emnlp-main.802,2021,57,"retrieval, dense, retrievers"
290,2021.emnlp-main.802,2021,-1,noise
291,2021.emnlp-main.802,2021,-1,noise
292,2021.emnlp-main.802,2021,71,"multilingual, lingual, language"
293,2024.emnlp-main.497,2024,-1,noise
294,2024.emnlp-main.497,2024,-1,noise
295,2024.emnlp-main.497,2024,56,"attention, training, pruning"
296,2024.emnlp-main.497,2024,56,"attention, training, pruning"
297,2024.emnlp-main.497,2024,72,"reasoning, math, problems"
298,2021.emnlp-main.834,2021,51,"reading, comprehension, readability"
299,2021.emnlp-main.834,2021,51,"reading, comprehension, readability"
300,2021.emnlp-main.834,2021,51,"reading, comprehension, readability"
301,2023.emnlp-main.969,2023,-1,noise
302,2023.emnlp-main.969,2023,-1,noise
303,2023.emnlp-main.969,2023,56,"attention, training, pruning"
304,2023.emnlp-main.969,2023,-1,noise
305,2025.emnlp-main.30,2025,36,"stance, detection, news"
306,2025.emnlp-main.30,2025,-1,noise
307,2025.emnlp-main.30,2025,36,"stance, detection, news"
308,2025.emnlp-main.30,2025,-1,noise
309,2025.emnlp-main.30,2025,-1,noise
310,2024.emnlp-main.86,2024,-1,noise
311,2023.emnlp-main.632,2023,78,"language, large, tuning"
312,2023.emnlp-main.632,2023,78,"language, large, tuning"
313,2023.emnlp-main.632,2023,78,"language, large, tuning"
314,2023.emnlp-main.688,2023,72,"reasoning, math, problems"
315,2023.emnlp-main.688,2023,72,"reasoning, math, problems"
316,2023.emnlp-main.688,2023,-1,noise
317,2023.emnlp-main.688,2023,72,"reasoning, math, problems"
318,2023.emnlp-main.688,2023,-1,noise
319,2023.emnlp-main.688,2023,72,"reasoning, math, problems"
320,2021.emnlp-main.843,2021,-1,noise
321,2021.emnlp-main.843,2021,-1,noise
322,2021.emnlp-main.843,2021,54,"parsing, dependency, constituency"
323,2021.emnlp-main.843,2021,54,"parsing, dependency, constituency"
324,2025.emnlp-main.1189,2025,-1,noise
325,2025.emnlp-main.1189,2025,-1,noise
326,2025.emnlp-main.255,2025,41,"speech, speaker, audio"
327,2025.emnlp-main.255,2025,6,"visual, vision, image"
328,2025.emnlp-main.255,2025,41,"speech, speaker, audio"
329,2025.emnlp-main.255,2025,6,"visual, vision, image"
330,2025.emnlp-main.255,2025,-1,noise
331,2025.emnlp-main.255,2025,6,"visual, vision, image"
332,2025.emnlp-main.255,2025,6,"visual, vision, image"
333,2020.emnlp-main.630,2020,65,"entity, linking, mention"
334,2020.emnlp-main.630,2020,65,"entity, linking, mention"
335,2020.emnlp-main.630,2020,65,"entity, linking, mention"
336,2020.emnlp-main.630,2020,65,"entity, linking, mention"
337,2020.emnlp-main.630,2020,65,"entity, linking, mention"
338,2020.emnlp-main.630,2020,65,"entity, linking, mention"
339,2020.emnlp-main.626,2020,11,"dialogue, dialog, dialogues"
340,2020.emnlp-main.626,2020,11,"dialogue, dialog, dialogues"
341,2020.emnlp-main.626,2020,25,"medical, clinical, radiology"
342,2025.emnlp-main.911,2025,-1,noise
343,2025.emnlp-main.911,2025,-1,noise
344,2025.emnlp-main.911,2025,-1,noise
345,2024.emnlp-main.113,2024,-1,noise
346,2024.emnlp-main.113,2024,57,"retrieval, dense, retrievers"
347,2024.emnlp-main.113,2024,8,"adversarial, attacks, attack"
348,2024.emnlp-main.113,2024,-1,noise
349,2024.emnlp-main.113,2024,-1,noise
350,2022.emnlp-main.543,2022,16,"intent, shot, classification"
351,2022.emnlp-main.543,2022,16,"intent, shot, classification"
352,2022.emnlp-main.543,2022,16,"intent, shot, classification"
353,2023.emnlp-main.105,2023,-1,noise
354,2023.emnlp-main.105,2023,62,"fact, verification, checking"
355,2023.emnlp-main.105,2023,-1,noise
356,2023.emnlp-main.105,2023,11,"dialogue, dialog, dialogues"
357,2023.emnlp-main.105,2023,62,"fact, verification, checking"
358,2022.emnlp-main.136,2022,35,"hate, offensive, speech"
359,2022.emnlp-main.136,2022,35,"hate, offensive, speech"
360,2022.emnlp-main.136,2022,35,"hate, offensive, speech"
361,2023.emnlp-main.91,2023,78,"language, large, tuning"
362,2023.emnlp-main.91,2023,78,"language, large, tuning"
363,2023.emnlp-main.91,2023,78,"language, large, tuning"
364,2023.emnlp-main.91,2023,56,"attention, training, pruning"
365,2023.emnlp-main.91,2023,56,"attention, training, pruning"
366,2025.emnlp-main.213,2025,-1,noise
367,2025.emnlp-main.213,2025,-1,noise
368,2025.emnlp-main.213,2025,-1,noise
369,2025.emnlp-main.213,2025,-1,noise
370,2025.emnlp-main.213,2025,-1,noise
371,2025.emnlp-main.835,2025,66,"named, entity, recognition"
372,2025.emnlp-main.835,2025,-1,noise
373,2025.emnlp-main.835,2025,71,"multilingual, lingual, language"
374,2025.emnlp-main.835,2025,-1,noise
375,2025.emnlp-main.835,2025,66,"named, entity, recognition"
376,2025.emnlp-main.835,2025,66,"named, entity, recognition"
377,2021.emnlp-main.570,2021,54,"parsing, dependency, constituency"
378,2021.emnlp-main.570,2021,54,"parsing, dependency, constituency"
379,2021.emnlp-main.570,2021,33,"generation, text, language"
380,2020.emnlp-main.138,2020,63,"topic, topics, btr"
381,2020.emnlp-main.138,2020,63,"topic, topics, btr"
382,2020.emnlp-main.249,2020,28,"human, annotator, agreement"
383,2020.emnlp-main.249,2020,-1,noise
384,2020.emnlp-main.249,2020,-1,noise
385,2021.emnlp-main.269,2021,32,"rumor, fake, detection"
386,2021.emnlp-main.269,2021,32,"rumor, fake, detection"
387,2021.emnlp-main.269,2021,-1,noise
388,2021.emnlp-main.269,2021,32,"rumor, fake, detection"
389,2024.emnlp-main.957,2024,6,"visual, vision, image"
390,2024.emnlp-main.957,2024,6,"visual, vision, image"
391,2024.emnlp-main.957,2024,6,"visual, vision, image"
392,2024.emnlp-main.957,2024,-1,noise
393,2024.emnlp-main.957,2024,56,"attention, training, pruning"
394,2025.emnlp-main.1606,2025,6,"visual, vision, image"
395,2025.emnlp-main.1606,2025,37,"political, social, language"
396,2025.emnlp-main.366,2025,-1,noise
397,2025.emnlp-main.366,2025,78,"language, large, tuning"
398,2025.emnlp-main.366,2025,78,"language, large, tuning"
399,2023.emnlp-main.513,2023,41,"speech, speaker, audio"
400,2023.emnlp-main.513,2023,41,"speech, speaker, audio"
401,2023.emnlp-main.513,2023,-1,noise
402,2023.emnlp-main.513,2023,41,"speech, speaker, audio"
403,2024.emnlp-main.1028,2024,6,"visual, vision, image"
404,2024.emnlp-main.1028,2024,-1,noise
405,2023.emnlp-main.61,2023,-1,noise
406,2023.emnlp-main.61,2023,-1,noise
407,2023.emnlp-main.61,2023,47,"prompt, prompts, tuning"
408,2023.emnlp-main.61,2023,72,"reasoning, math, problems"
409,2023.emnlp-main.61,2023,-1,noise
410,2020.emnlp-main.367,2020,71,"multilingual, lingual, language"
411,2020.emnlp-main.367,2020,71,"multilingual, lingual, language"
412,2020.emnlp-main.367,2020,71,"multilingual, lingual, language"
413,2022.emnlp-main.335,2022,-1,noise
414,2022.emnlp-main.335,2022,-1,noise
415,2022.emnlp-main.335,2022,-1,noise
416,2024.emnlp-main.392,2024,30,"mental, depression, counseling"
417,2024.emnlp-main.392,2024,-1,noise
418,2024.emnlp-main.392,2024,-1,noise
419,2024.emnlp-main.392,2024,-1,noise
420,2024.emnlp-main.392,2024,30,"mental, depression, counseling"
421,2024.emnlp-main.544,2024,6,"visual, vision, image"
422,2024.emnlp-main.544,2024,6,"visual, vision, image"
423,2024.emnlp-main.544,2024,6,"visual, vision, image"
424,2022.emnlp-main.170,2022,71,"multilingual, lingual, language"
425,2022.emnlp-main.170,2022,71,"multilingual, lingual, language"
426,2022.emnlp-main.170,2022,71,"multilingual, lingual, language"
427,2022.emnlp-main.170,2022,71,"multilingual, lingual, language"
428,2022.emnlp-main.170,2022,71,"multilingual, lingual, language"
429,2022.emnlp-main.729,2022,-1,noise
430,2022.emnlp-main.729,2022,-1,noise
431,2022.emnlp-main.729,2022,38,"distillation, student, knowledge"
432,2020.emnlp-main.178,2020,43,"translation, machine, neural"
433,2020.emnlp-main.178,2020,43,"translation, machine, neural"
434,2023.emnlp-main.611,2023,33,"generation, text, language"
435,2023.emnlp-main.611,2023,-1,noise
436,2020.emnlp-main.163,2020,6,"visual, vision, image"
437,2020.emnlp-main.163,2020,32,"rumor, fake, detection"
438,2023.emnlp-main.888,2023,-1,noise
439,2023.emnlp-main.888,2023,-1,noise
440,2023.emnlp-main.888,2023,-1,noise
441,2020.emnlp-main.520,2020,-1,noise
442,2020.emnlp-main.520,2020,-1,noise
443,2024.emnlp-main.375,2024,4,"hallucination, hallucinations, detection"
444,2024.emnlp-main.375,2024,4,"hallucination, hallucinations, detection"
445,2021.emnlp-main.431,2021,65,"entity, linking, mention"
446,2021.emnlp-main.431,2021,65,"entity, linking, mention"
447,2021.emnlp-main.431,2021,66,"named, entity, recognition"
448,2020.emnlp-main.349,2020,17,"story, stories, narrative"
449,2020.emnlp-main.349,2020,17,"story, stories, narrative"
450,2020.emnlp-main.349,2020,17,"story, stories, narrative"
451,2020.emnlp-main.349,2020,-1,noise
452,2020.emnlp-main.349,2020,17,"story, stories, narrative"
453,2024.emnlp-main.793,2024,6,"visual, vision, image"
454,2024.emnlp-main.793,2024,6,"visual, vision, image"
455,2024.emnlp-main.793,2024,6,"visual, vision, image"
456,2024.emnlp-main.793,2024,6,"visual, vision, image"
457,2024.emnlp-main.793,2024,6,"visual, vision, image"
458,2022.emnlp-main.600,2022,-1,noise
459,2022.emnlp-main.600,2022,18,"emotion, emotions, conversations"
460,2022.emnlp-main.600,2022,-1,noise
461,2022.emnlp-main.600,2022,-1,noise
462,2022.emnlp-main.600,2022,6,"visual, vision, image"
463,2020.emnlp-main.734,2020,-1,noise
464,2020.emnlp-main.734,2020,52,"nli, nlp, examples"
465,2020.emnlp-main.734,2020,-1,noise
466,2020.emnlp-main.734,2020,52,"nli, nlp, examples"
467,2020.emnlp-main.734,2020,52,"nli, nlp, examples"
468,2023.emnlp-main.666,2023,-1,noise
469,2023.emnlp-main.666,2023,-1,noise
470,2023.emnlp-main.666,2023,-1,noise
471,2021.emnlp-main.317,2021,1,"aspect, sentiment, opinion"
472,2021.emnlp-main.317,2021,1,"aspect, sentiment, opinion"
473,2021.emnlp-main.317,2021,1,"aspect, sentiment, opinion"
474,2025.emnlp-main.391,2025,-1,noise
475,2025.emnlp-main.391,2025,-1,noise
476,2025.emnlp-main.391,2025,-1,noise
477,2025.emnlp-main.391,2025,-1,noise
478,2025.emnlp-main.391,2025,-1,noise
479,2025.emnlp-main.391,2025,27,"causal, llm, judge"
480,2022.emnlp-main.328,2022,74,"embeddings, sentence, embedding"
481,2022.emnlp-main.328,2022,63,"topic, topics, btr"
482,2022.emnlp-main.328,2022,74,"embeddings, sentence, embedding"
483,2020.emnlp-main.364,2020,43,"translation, machine, neural"
484,2020.emnlp-main.364,2020,43,"translation, machine, neural"
485,2020.emnlp-main.364,2020,43,"translation, machine, neural"
486,2020.emnlp-main.463,2020,56,"attention, training, pruning"
487,2020.emnlp-main.463,2020,56,"attention, training, pruning"
488,2020.emnlp-main.463,2020,56,"attention, training, pruning"
489,2020.emnlp-main.463,2020,56,"attention, training, pruning"
490,2020.emnlp-main.463,2020,56,"attention, training, pruning"
491,2023.emnlp-main.34,2023,6,"visual, vision, image"
492,2023.emnlp-main.34,2023,6,"visual, vision, image"
493,2023.emnlp-main.34,2023,6,"visual, vision, image"
494,2023.emnlp-main.194,2023,54,"parsing, dependency, constituency"
495,2023.emnlp-main.194,2023,54,"parsing, dependency, constituency"
496,2022.emnlp-main.768,2022,-1,noise
